"region","year","min_percent_canopy_density","loss_ha","gain_ha"
"Cuzco",2003,50,2902,299.166666666667
"Cuzco",2003,75,2846,299.166666666667
"Cuzco",2004,10,2962,299.166666666667
"Cuzco",2004,15,2961,299.166666666667
"Cuzco",2004,20,2957,299.166666666667
"Cuzco",2004,25,2955,299.166666666667
"Cuzco",2004,30,2953,299.166666666667
"Cuzco",2004,50,2926,299.166666666667
"Cuzco",2004,75,2868,299.166666666667
"Cuzco",2005,10,4143,299.166666666667
"Cuzco",2005,15,4139,299.166666666667
"Cuzco",2005,20,4133,299.166666666667
"Cuzco",2005,25,4131,299.166666666667
"Cuzco",2005,30,4125,299.166666666667
"Cuzco",2005,50,4050,299.166666666667
"Cuzco",2005,75,3887,299.166666666667
"Cuzco",2006,10,3121,299.166666666667
"Cuzco",2006,15,3120,299.166666666667
"Cuzco",2006,20,3117,299.166666666667
"Cuzco",2006,25,3117,299.166666666667
"Cuzco",2006,30,3115,299.166666666667
"Cuzco",2006,50,3092,299.166666666667
"Cuzco",2006,75,3011,299.166666666667
